Label,Time,XPos,YPos,ZPos,XRot,YRot,ZRot
Head,31.72,0.02430857,1.155951,-7.754428,72.82586,111.3211,17.76807
Head,31.96,0.02453412,1.155884,-7.75428,72.81085,111.6415,18.10374
Head,32.22,-0.07354701,1.234319,-7.63348,30.32193,351.3687,351.8056
Head,32.48,-0.008419794,1.69335,-7.883514,20.32597,22.9103,1.932888
Head,32.7,-0.004307681,1.69639,-7.842531,18.08615,0.2211595,3.28056
Head,32.92,-0.01022879,1.700155,-7.84485,17.37549,359.5312,4.372678
Head,33.14,-0.01250856,1.703462,-7.844715,16.85686,358.8245,5.039426
Head,33.38,-0.01336146,1.704844,-7.845263,16.05672,358.6041,4.586475
Head,33.6,-0.01178258,1.704812,-7.846368,15.7551,358.2842,4.263017
Head,33.84,-0.009510058,1.706367,-7.846662,15.12785,358.3958,4.32107
Head,34.06,-0.0062669,1.71082,-7.845282,12.04905,359.5094,6.755137
Head,34.3,-0.002087545,1.711402,-7.845631,12.15074,2.942131,7.342847
Head,34.52,-0.0008330643,1.7188,-7.848864,10.70477,6.658129,8.987301
Head,34.74,0.006679618,1.73149,-7.842436,28.32658,16.24872,14.21963
Head,34.98,0.002753142,1.674445,-7.796527,33.98082,15.80147,12.02681
Head,35.2,-0.01738732,1.612687,-7.797866,44.68162,19.37928,9.726933
Head,35.44,-0.02859519,1.582744,-7.783276,54.6941,18.57347,8.286866
Head,35.66,-0.04774678,1.580015,-7.764236,54.39501,22.18389,12.2065
Head,35.9,-0.05411347,1.578065,-7.749217,55.90374,27.77994,17.03234
Head,36.14,-0.05270031,1.575273,-7.742458,56.78957,28.42149,16.53407
Head,36.36,-0.04983117,1.573113,-7.740396,57.25005,28.84197,15.98905
Head,36.6,-0.05047928,1.573663,-7.739412,57.33961,30.72038,16.93255
Head,36.82,-0.04998299,1.572285,-7.737668,57.95889,30.11312,16.86628
Head,37.06,-0.05084563,1.573103,-7.739974,57.67073,29.99506,16.23952
Head,37.28,-0.05016221,1.573035,-7.742033,57.48267,30.32154,16.13774
Head,37.52,-0.05108041,1.573983,-7.74316,57.57466,30.0616,16.0453
Head,37.74,-0.05175805,1.575603,-7.744877,57.33074,30.11483,16.22152
Head,37.98,-0.04926163,1.577735,-7.748733,56.61945,28.19878,14.26068
Head,38.2,-0.04795968,1.577656,-7.751499,56.64238,28.1624,13.86987
Head,38.44,-0.04566552,1.576841,-7.752085,57.09458,28.1798,13.65895
Head,38.66,-0.04144476,1.577797,-7.753569,57.07499,26.16001,11.93301
Head,38.9,-0.0324218,1.577781,-7.757266,56.36147,22.08531,8.140763
Head,39.14,-0.01454123,1.579079,-7.759149,57.46681,15.94466,1.803954
Head,39.36,0.01628985,1.590499,-7.76393,60.01982,4.76295,354.3117
Head,39.58,0.03440511,1.587634,-7.76197,59.61602,353.2236,348.3846
Head,39.82,0.02942241,1.578683,-7.76313,60.40537,358.0908,347.2246
Head,40.04,0.02294662,1.567845,-7.762454,60.87871,354.7032,340.9272
Head,40.26,0.01175151,1.552749,-7.775603,61.05049,0.3568105,340.3359
Head,40.5,-0.00550836,1.532163,-7.802691,62.51204,1.267521,331.5659
Head,40.72,-0.02691652,1.503187,-7.8457,62.6559,5.917591,324.9928
Head,40.96,-0.05090954,1.483821,-7.887261,63.64956,19.79506,324.7742
Head,41.18,-0.06532806,1.485751,-7.905348,64.94083,29.55886,334.7704
Head,41.42,-0.0651007,1.503609,-7.907922,64.20051,28.2779,336.1164
Head,41.66,-0.05941063,1.525568,-7.9157,62.90524,25.42525,335.6508
Head,41.88,-0.06788678,1.530781,-7.916105,62.14986,30.97463,339.864
Head,42.1,-0.07582253,1.528203,-7.914779,62.13643,33.88117,342.6739
Head,42.34,-0.08879766,1.521116,-7.902946,62.88828,42.56355,344.8431
Head,42.56,-0.1036759,1.483637,-7.86915,57.79777,46.99354,325.1449
Head,42.8,-0.1735595,1.456891,-7.798325,46.34523,77.92938,345.4475
Head,43.02,-0.2543277,1.413858,-7.716224,52.7109,80.53089,350.9686
Head,43.24,-0.2881798,1.407046,-7.674001,48.56432,84.48028,357.9949
Head,43.48,-0.2904548,1.422811,-7.664351,47.80809,82.67817,352.6725
Head,43.7,-0.2962432,1.435667,-7.659838,47.22934,82.53502,350.8764
Head,43.92,-0.3098499,1.440782,-7.660615,43.63925,82.12445,348.8282
Head,44.16,-0.3253332,1.438114,-7.653636,41.49371,83.85957,351.7981
Head,44.38,-0.3255368,1.437483,-7.653114,41.86771,82.03405,350.8757
Head,44.62,-0.3331037,1.437068,-7.648407,37.74667,83.91786,354.3681
Head,44.84,-0.3386109,1.415179,-7.636969,35.70832,88.76824,3.023905
Head,45.08,-0.3322454,1.430874,-7.643272,36.77546,84.4767,355.9097
Head,45.3,-0.3315812,1.430564,-7.638362,38.58882,88.39104,359.9558
